SystemName	NetworkAddress	PrimaryEmail	PlatformName	ChangeFrequency	ReleaseDuration	SystemAutoFl	FunctionalAccount	FunctionalAcctCredentials	UseSpecificKey	ChangeTime	PasswordRule	PortNumber	EnablePassword	AlternateIP	Description	DomainFunctionalAccount	DomainPlatformOS	LineDef	Timeout	DomainName	OracleType	OracleSIDSN	CheckFl	ResetFl	ReleaseChgFl	NetBiosName	MaxReleaseDuration	NonPrivFuncFl	UseSslFl	AllowFuncReqFl	EscalationTime	EscalationEmail	EGPOnlyFl	PlatSpecificValue	TicketSystemName	RequireTicketForRequest	RequireTicketForISA	RequireTicketForCLI	RequireTicketForAPI	TicketEmailNotify	Custom1	Custom2	Custom3	Custom4	Custom5	Custom6	AllowISADurationFl	UseSshFl	SSHAccount	SSHPort	SSHKey	TemplateFl	AutoDiscoveryProfile	AutoDiscoveryExcludeList	AutoDiscoveryTimeout	PSM DPA Affinity	PPM DPA Affinity	PasswordChangeProfile	PasswordCheckProfile	FuncAcctDN	RequireTicketForPSM	ProfileCertificateType	ProfileNotificationThumbprint
klgenautodiscsys58	192.168.99.58	klgenautodiscsys58@tpam.spb.qsft	Unixware 7.X		180	Y	klgenautodiscfcctacct4	DSS	Y		Default Password Rule				desc9				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys57	192.168.99.57	klgenautodiscsys57@tpam.spb.qsft	UnixWare		120	Y	klgenautodiscfcctacct3		N		Default Password Rule				desc1				        61								1440	N	N	N	1	klsysesc1@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys56	192.168.99.56	klgenautodiscsys56@tpam.spb.qsft	Tru64 Untrusted		180	Y	klgenautodiscfcctacct2	DSS	N		Default Password Rule				desc2				        62								2880	N	N	N	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys55	192.168.99.55	klgenautodiscsys55@tpam.spb.qsft	Tru64 Enhanced Sec.		180	Y	klgenautodiscfcctacct1		N		Default Password Rule				desc3				        63								4320	N	N	N	3	klsysesc3@tpam.spb.qsft	N		PersTicketSystem	Y	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys54	192.168.99.54	klgenautodiscsys54@tpam.spb.qsft	Teradata		180	Y	klgenautodiscfcctacct9		N		Default Password Rule	        66			desc4				        64								5760	N	N	Y	4	klsysesc4@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	Y	sshuser	67	Standard	N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys53	192.168.99.53	klgenautodiscsys53@tpam.spb.qsft	Sybase		180	Y	klgenautodiscfcctacct8		N		Default Password Rule				desc5				        65								4320	N	Y	Y	5	klsysesc5@tpam.spb.qsft	N		PersTicketSystem	Y	Y	Y	Y	TicketNotify@tpam.spb.qsft							N	N		0		N			0	DPAPLACEHOLDER/11	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys52	192.168.99.53	klgenautodiscsys53@tpam.spb.qsft	Stratus VOS		180	Y	klgenautodiscfcctacct7		N		Default Password Rule				desc6				        66								7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys51	192.168.99.51	klgenautodiscsys51@tpam.spb.qsft	Solaris		180	Y	klgenautodiscfcctacct6	DSS	Y		Default Password Rule				desc7				        67								8640	N	N	Y	7	klsysesc7@tpam.spb.qsft	N	delpref		N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	DPAPLACEHOLDER/11	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys50	192.168.99.50	klgenautodiscsys50@tpam.spb.qsft	SCO		180	Y	klgenautodiscfcctacct5		N		PersPwdRule	77			desc8				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys5	192.168.99.5	klgenautodiscsys5@tpam.spb.qsft	Cisco CATOS		180	Y	klgenautodiscfcctacct5		N		Default Password Rule	        55			new description				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	DPAPLACEHOLDER/11	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys49	192.168.99.49	klgenautodiscsys49@tpam.spb.qsft	ProxySG		180	Y	klgenautodiscfcctacct49		N		Default Password Rule				desc1				        61								1440	N	N	Y	1	klsysesc1@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	DPAPLACEHOLDER/11	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys48	192.168.99.48	klgenautodiscsys48@tpam.spb.qsft	PowerPassword		180	N			N		Default Password Rule				desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local				N	N	
klgenautodiscsys47	192.168.99.47	klgenautodiscsys47@tpam.spb.qsft	POS 4690		180	Y	klgenautodiscfcctacct2		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	DPAPLACEHOLDER/11	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys46	192.168.99.46	klgenautodiscsys46@tpam.spb.qsft	PAN-OS		180	Y	klgenautodiscfcctacct1	DSS	N		Default Password Rule				desc4				        64								5760	N	N	Y	4	klsysesc4@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	DPAPLACEHOLDER/11	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys45	192.168.99.45	klgenautodiscsys45@tpam.spb.qsft	Other		240	N			N		PersPwdRule				desc5				        65								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local				N	N	
klgenautodiscsys44	192.168.99.44	klgenautodiscsys44@tpam.spb.qsft	Oracle		180	Y	klgenautodiscfcctacct44		N		Default Password Rule	        200			desc6				        66		SID	KLSID2					7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N	KEY2=VALUE2;		N	N	N	N	TicketNotify@tpam.spb.qsft							N	Y	updroot2	88	Standard	N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys43	192.168.99.43	klgenautodiscsys43@tpam.spb.qsft	OpenVMS		180	Y	klgenautodiscfcctacct7		N		Default Password Rule				desc7				        67								8640	N	N	Y	7	klsysesc7@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys42	192.168.99.42	klgenautodiscsys42@tpam.spb.qsft	Novell NDS		180	Y	klgenautodiscfcctacct6		N		Default Password Rule	        44			desc8				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2	cn=Manager,dc=kllinux,dc=spb,dc=qsft	N	N	
klgenautodiscsys41	192.168.99.41	klgenautodiscsys41@tpam.spb.qsft	Nokia-IPSO		180	Y	klgenautodiscfcctacct5		N		PersPwdRule				desc9				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys40	192.168.99.40	klgenautodiscsys40@tpam.spb.qsft	NIS Plus		180	Y	klgenautodiscfcctacct4	DSS	N		Default Password Rule				desc1				        61	mydomain.mc.com							1440	N	N	Y	1	klsysesc1@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klgenautodiscsys4	192.168.99.4	klgenautodiscsys4@tpam.spb.qsft	CheckPoint SP		180	Y	klgenautodiscfcctacct4		N		Default Password Rule	        55			desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	DPAPLACEHOLDER/11	PersPassChangeProfile_1	PersPassCheckProfile_1		Y	N	
klgenautodiscsys39	192.168.99.39	klgenautodiscsys39@tpam.spb.qsft	Netscreen		180	Y	klgenautodiscfcctacct3		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	Y	Y	N	ticket@notify.mail							Y	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klgenautodiscsys38	192.168.99.38	klgenautodiscsys38@tpam.spb.qsft	MySQL		180	Y	klgenautodiscfcctacct2		N		Default Password Rule				desc4				        64								5760	N	Y	Y	13	newklsysesc4@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys37	192.168.99.37	klgenautodiscsys37@tpam.spb.qsft	MS SQL Server		180	Y	klgenautodiscfcctacct1		N		Default Password Rule				desc5				        65								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	Y	newroot	37	Standard	N			0	Any	DPAPLACEHOLDER/18	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys36	192.168.99.36	klgenautodiscsys36@tpam.spb.qsft	Mainframe LDAP TS		180	Y	klgenautodiscfcctacct9		N		PersPwdRule				desc6				        66								7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys35	192.168.99.35	klgenautodiscsys35@tpam.spb.qsft	Mainframe LDAP RACF		180	Y	klgenautodiscfcctacct8		N		Default Password Rule	        35			desc7				        67								8640	N	Y	Y	7	klsysesc7@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	DPAPLACEHOLDER/18	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys34	192.168.99.34	klgenautodiscsys34@tpam.spb.qsft	Mainframe LDAP RACF		180	Y	klgenautodiscfcctacct7		N		Default Password Rule				desc8				        68								10080	N	Y	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys33	192.168.99.33	klgenautodiscsys33@tpam.spb.qsft	Mainframe (ACF2)		180	Y	klgenautodiscfcctacct6		N		Default Password Rule	        33			desc9				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys32	192.168.99.32	klgenautodiscsys32@tpam.spb.qsft	Mainframe		180	Y	klgenautodiscfcctacct32		N		Default Password Rule	        32			desc1			custom command	        61								1440	N	Y	Y	1	klsysesc1@tpam.spb.qsft	N	WorkstationID		N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys31	192.168.99.31	klgenautodiscsys31@tpam.spb.qsft	MacOSX 10.5,10.6		210	Y	klgenautodiscfcctacct4		N		Default Password Rule				desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys30	192.168.99.30	klgenautodiscsys30@tpam.spb.qsft	MacOSX 10.4		180	Y	klgenautodiscfcctacct30		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys3	192.168.99.3	klgenautodiscsys3@tpam.spb.qsft	BoKS		180	Y	klgenautodiscfcctacct3		N		Default Password Rule	        55			desc4		IBM HMC		        64	mydomain							5760	N	N	Y	4	klsysesc4@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys123	192.168.99.123	KLapache23@tpam.spb.qsft	Oracle(Legacy)		180	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68		SID	KLSID					10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	DPAPLACEHOLDER/18	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys122	192.168.99.122	KLapache22@tpam.spb.qsft	Sonicwall (SonicOS)		390	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	DPAPLACEHOLDER/18	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys121	192.168.99.121	KLapache21@tpam.spb.qsft	MacOSX 10.7		360	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klgenautodiscsys120	192.168.99.120	KLapache20@tpam.spb.qsft	MacOSX 10.5,10.6		330	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	DPAPLACEHOLDER/18	DPAPLACEHOLDER/11	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys118	192.168.99.118	KLapache18@tpam.spb.qsft	Linux		270	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        70								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys117	192.168.99.117	KLapache17@tpam.spb.qsft	Juniper(JunOS)		120	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								990	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	DPAPLACEHOLDER/11	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys116	192.168.99.116	KLapache16@tpam.spb.qsft	LDAPS		180	Y	Manager		N		Default Password Rule	        44			LDAPS Server				        68	domain.spb.com						DOMAIN	10020	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	DPAPLACEHOLDER/11	PersPassChangeProfile_2	PersPassCheckProfile_2	cn=NEWMaster,dc=domain,dc=spb,dc=qsft	Y	N	
klgenautodiscsys114	192.168.99.114	KLapache14@tpam.spb.qsft	HP-UX Untrusted		180	Y	Manager		N		Default Password Rule	        50			kltemplformysqlad description				        68								3030	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	DPAPLACEHOLDER/18	PersPassChangeProfile_2	PersPassCheckProfile_2		N	T	CCCCE963A674BBB58EFE5551706FB75725066D01
klgenautodiscsys113	192.168.99.113	KLapache13@tpam.spb.qsft	HP-UX Shadow		180	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								3000	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	DPAPLACEHOLDER/12	DPAPLACEHOLDER/11	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	T	AAAAE963A777BBB58EFE2DA1706FB75725066D01
klgenautodiscsys112	192.168.99.112	KLapache12@tpam.spb.qsft	HP-UX		180	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								1590	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_1		N	N	
klgenautodiscsys111	192.168.99.111	KLapache11@tpam.spb.qsft	HP ILO2		180	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	DPAPLACEHOLDER/18	PersPassChangeProfile_1	PersPassCheckProfile_2		N	N	
klgenautodiscsys110	192.168.99.110	KLapache10@tpam.spb.qsft	HP ILO		180	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								9000	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		Y	N	
klgenautodiscsys108	192.168.99.108	KLapache8@tpam.spb.qsft	FreeBSD		180	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								1470	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_1		N	N	
klgenautodiscsys107	192.168.99.107	KLapache7@tpam.spb.qsft	Fortinet		180	Y	Manager		N		Default Password Rule	44			kltemplformysqlad description				        68								1410	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys106	192.168.99.106	KLapache6@tpam.spb.qsft	ForeScout CounterACT		180	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	DPAPLACEHOLDER/18	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klgenautodiscsys105	192.168.99.105	KLapache5@tpam.spb.qsft	Dell Remote Access		180	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								2850	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	DPAPLACEHOLDER/18	Local	PersPassChangeProfile_1	PersPassCheckProfile_2		Y	N	
klgenautodiscsys104	192.168.99.104	KLapache4@tpam.spb.qsft	AS400		180	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								4380	N	Y	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_1		N	N	
klgenautodiscsys103	192.168.99.103	KLapache3@tpam.spb.qsft	AIX		180	Y	Manager		N		Default Password Rule	        44			kltemplformysqlad description				        68								9000	N	N	Y	8	klsysesc8@tpam.spb.qsft	N		PersTicketSystem	N	Y	Y	Y	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klgenautodiscsys102	192.168.99.102	kltemplformysqlad@tpam.spb.qsft	Windows		210	Y	klroot		N		Default Password Rule				kltemplformysqlad description				        20								150	N	N	Y	30	Escalation@tpam.spb.qsft	N	klgenautodiscsys102		Y	N	Y	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	DPAPLACEHOLDER/37	DPAPLACEHOLDER/44	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscsys101	10.30.38.252	KLapache@tpam.spb.qsft	LDAP		180	Y	Manager		N		Default Password Rule	        44			Real OpenLDAP Server				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2	cn=NewRoot,dc=kllinux,dc=spb,dc=qsft	N	N	
klgenautodiscsys100	192.168.99.100	kltemplformysqlad@tpam.spb.qsft	Windows		210	Y	Administrator		N		Default Password Rule				kltemplformysqlad description				        20								300	N	N	Y	30	Escalation@tpam.spb.qsft	N	NEWNAME		Y	N	Y	N	TicketNotify@tpam.spb.qsft							Y	N		0		N			0	Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klgenautodiscfakesystem_1	192.168.99.115	KLapache15@tpam.spb.qsft	IBM HMC		180	Y	Manager		N		Default Password Rule	        60			kltemplformysqlad description				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N	TicketNotify@tpam.spb.qsft							N	N		0		N			0	Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	T	BBBBE963A674BBB58EFE5551706FB75725066D01
klgenautodiscfakesystem	7.7.7.7		Windows		120	Y	mymaster		N		Default Password Rule								        90								10080	N	N	N	0		N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
