SystemName	NetworkAddress	PrimaryEmail	PlatformName	ChangeFrequency	ReleaseDuration	SystemAutoFl	FunctionalAccount	FunctionalAcctCredentials	UseSpecificKey	ChangeTime	PasswordRule	PortNumber	EnablePassword	AlternateIP	Description	DomainFunctionalAccount	DomainPlatformOS	LineDef	Timeout	DomainName	OracleType	OracleSIDSN	CheckFl	ResetFl	ReleaseChgFl	NetBiosName	MaxReleaseDuration	NonPrivFuncFl	UseSslFl	AllowFuncReqFl	EscalationTime	EscalationEmail	EGPOnlyFl	PlatSpecificValue	TicketSystemName	RequireTicketForRequest	RequireTicketForISA	RequireTicketForCLI	RequireTicketForAPI	TicketEmailNotify	Custom1	Custom2	Custom3	Custom4	Custom5	Custom6	AllowISADurationFl	UseSshFl	SSHAccount	SSHPort	SSHKey	TemplateFl	AutoDiscoveryProfile	AutoDiscoveryExcludeList	AutoDiscoveryTimeout	PSM DPA Affinity	PPM DPA Affinity	PasswordChangeProfile	PasswordCheckProfile	FuncAcctDN	RequireTicketForPSM	ProfileCertificateType	ProfileNotificationThumbprint	
klbatchsys56	192.168.99.56	klbatchsys56@tpam.spb.qsft	Tru64 Untrusted		180	Y	klbatchfcctacct2	DSS	Y		Default Password Rule				desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys55	192.168.99.55	klbatchsys55@tpam.spb.qsft	Tru64 Enhanced Sec.		180	Y	klbatchfcctacct1		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys54	192.168.99.54	klbatchsys54@tpam.spb.qsft	Teradata		180	Y	klbatchfcctacct9		N		Default Password Rule	        66			desc4				        64								5760	N	N	Y	4	klsysesc4@tpam.spb.qsft	N			N	N	N	N								Y	Y	sshuser	67	Standard	N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys53	192.168.99.53	klbatchsys53@tpam.spb.qsft	Sybase		180	Y	klbatchfcctacct8		N		Default Password Rule				desc5				        65								4320	N	Y	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys52	192.168.99.53	klbatchsys53@tpam.spb.qsft	Stratus VOS		180	Y	klbatchfcctacct7		N		Default Password Rule				desc6				        66								7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys51	192.168.99.51	klbatchsys51@tpam.spb.qsft	Solaris		180	Y	klbatchfcctacct6	DSS	N		Default Password Rule				desc7				        67								8640	N	N	Y	7	klsysesc7@tpam.spb.qsft	N	delpref		N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys50	192.168.99.50	klbatchsys50@tpam.spb.qsft	SCO		180	Y	klbatchfcctacct5		N		Default Password Rule				desc8				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys5	192.168.99.5	klbatchsys5@tpam.spb.qsft	Cisco CATOS		180	Y	klbatchfcctacct5		N		Default Password Rule	        55			desc9				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys49	192.168.99.49	klbatchsys49@tpam.spb.qsft	ProxySG		180	Y	klbatchfcctacct49		N		Default Password Rule				desc1				        61								1440	N	N	Y	1	klsysesc1@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	DPAPLACEHOLDER/7	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys48	192.168.99.48	klbatchsys48@tpam.spb.qsft	PowerPassword		180	N			N		Default Password Rule				desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	DPAPLACEHOLDER/7				N	N	
klbatchsys47	192.168.99.47	klbatchsys47@tpam.spb.qsft	POS 4690		180	Y	klbatchfcctacct2		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	DPAPLACEHOLDER/7	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys46	192.168.99.46	klbatchsys46@tpam.spb.qsft	PAN-OS		180	Y	klbatchfcctacct1	DSS	N		Default Password Rule				desc4				        64								5760	N	N	Y	4	klsysesc4@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	DPAPLACEHOLDER/7	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys45	192.168.99.45	klbatchsys45@tpam.spb.qsft	Other		240	N			N		Default Password Rule				desc5				        65								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local				N	N	
klbatchsys44	192.168.99.44	klbatchsys44@tpam.spb.qsft	Oracle		180	Y	klbatchfcctacct44		N		Default Password Rule	        32			desc6				        66		Service	servisename					7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N			N	N	N	N								N	N				N				DPAPLACEHOLDER/3	DPAPLACEHOLDER/7	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys43	192.168.99.43	klbatchsys43@tpam.spb.qsft	OpenVMS		180	Y	klbatchfcctacct7		N		Default Password Rule				desc7				        67								8640	N	N	Y	7	klsysesc7@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	DPAPLACEHOLDER/7	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys42	192.168.99.42	klbatchsys42@tpam.spb.qsft	Novell NDS		180	Y	klbatchfcctacct6		N		Default Password Rule	        44			desc8				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	DPAPLACEHOLDER/7	PersPassChangeProfile_2	PersPassCheckProfile_2	cn=Master,dc=kllinux,dc=spb,dc=qsft	N	N	
klbatchsys41	192.168.99.41	klbatchsys41@tpam.spb.qsft	Nokia-IPSO		180	Y	klbatchfcctacct5		N		Default Password Rule				desc9				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	DPAPLACEHOLDER/7	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys40	192.168.99.40	klbatchsys40@tpam.spb.qsft	NIS Plus		180	Y	klbatchfcctacct4	DSS	N		Default Password Rule				desc1				        61	mydomain.mc.com							1440	N	N	Y	1	klsysesc1@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	DPAPLACEHOLDER/7	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys4	192.168.99.4	klbatchsys4@tpam.spb.qsft	CheckPoint SP		180	Y	klbatchfcctacct4		N		Default Password Rule	        55			desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	DPAPLACEHOLDER/7	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys39	192.168.99.39	klbatchsys39@tpam.spb.qsft	Netscreen		180	Y	klbatchfcctacct3		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N								Y	N				N				DPAPLACEHOLDER/5	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys38	192.168.99.38	klbatchsys38@tpam.spb.qsft	MySQL		180	Y	klbatchfcctacct2		N		Default Password Rule				desc4				        64								5760	N	Y	Y	4	klsysesc4@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys37	192.168.99.37	klbatchsys37@tpam.spb.qsft	MS SQL Server		180	Y	klbatchfcctacct1		N		Default Password Rule				desc5				        65								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								Y	Y	root	33	Specific	N				DPAPLACEHOLDER/5	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys36	192.168.99.36	klbatchsys36@tpam.spb.qsft	Mainframe LDAP TS		180	Y	klbatchfcctacct9		N		Default Password Rule				desc6				        66								7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N			N	N	N	N								Y	N				N				DPAPLACEHOLDER/5	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys35	192.168.99.35	klbatchsys35@tpam.spb.qsft	Mainframe LDAP RACF		180	Y	klbatchfcctacct8		N		Default Password Rule	        35			desc7				        67								8640	N	Y	Y	7	klsysesc7@tpam.spb.qsft	N			N	N	N	N								N	N				N				DPAPLACEHOLDER/5	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys34	192.168.99.34	klbatchsys34@tpam.spb.qsft	Mainframe LDAP ACF2		180	Y	klbatchfcctacct7		N		Default Password Rule				desc8				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys33	192.168.99.33	klbatchsys33@tpam.spb.qsft	Mainframe (ACF2)		180	Y	klbatchfcctacct6		N		Default Password Rule	        33			desc9				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			N	N	N	N								N	N				N				DPAPLACEHOLDER/5	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys32	192.168.99.32	klbatchsys32@tpam.spb.qsft	Mainframe		180	Y	klbatchfcctacct32		N		Default Password Rule	        32			desc1			custom command	        61								1440	N	Y	Y	1	klsysesc1@tpam.spb.qsft	N	WorkstationID		N	N	N	N								Y	N				N				DPAPLACEHOLDER/5	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys31	192.168.99.31	klbatchsys31@tpam.spb.qsft	MacOSX 10.5,10.6		210	Y	klbatchfcctacct4		N		Default Password Rule				desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			N	N	N	N								Y	N				N				DPAPLACEHOLDER/5	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys30	192.168.99.30	klbatchsys30@tpam.spb.qsft	MacOSX 10.4		180	Y	klbatchfcctacct30		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N			N	N	N	N								Y	N				N				DPAPLACEHOLDER/5	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		N	N	
klbatchsys3	192.168.99.3	klbatchsys3@tpam.spb.qsft	BoKS		180	Y	klbatchfcctacct3		N		Default Password Rule	        55			desc4		FreeBSD		        64	mydomain							5760	N	N	Y	4	klsysesc4@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys29	192.168.99.29	klbatchsys2@tpam.spb.qsft	Linux		180	Y	klbatchfcctacct2		N		Default Password Rule				desc5				        65								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			Y	Y	Y	Y								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys28	192.168.99.28	klbatchsys28@tpam.spb.qsft	LDAPS		180	Y	klbatchfcctacct1		N		PersPwdRule	        28			desc6				        66								7200	N	N	Y	6	klsysesc6@tpam.spb.qsft	N			Y	Y	Y	Y								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2	cn=Manager777,dc=kllinux,dc=spb,dc=qsft	N	N	
klbatchsys27	192.168.99.27	klbatchsys27@tpam.spb.qsft	LDAP		180	Y	klbatchfcctacct27		N		Default Password Rule	        33			desc7				        67								8640	N	N	Y	7	klsysesc7@tpam.spb.qsft	N			Y	Y	Y	Y								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2	cn=Manager888,dc=kllinux,dc=spb,dc=qsft	N	N	
klbatchsys26	192.168.99.26	klbatchsys26@tpam.spb.qsft	Juniper(JunOS)		180	Y	klbatchfcctacct26		N		PersPwdRule				desc8				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			Y	Y	Y	Y								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys25	192.168.99.25	klbatchsys7@tpam.spb.qsft	IBM HMC		180	Y	klbatchfcctacct7		N		PersPwdRule				desc9				        69								10080	N	N	Y	9	klsysesc9@tpam.spb.qsft	N			Y	Y	Y	Y								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys24	192.168.99.24	klbatchsys24@tpam.spb.qsft	HP-UX Untrusted		180	Y	klbatchfcctacct6		N		PersPwdRule				desc1				        61								1440	N	N	Y	1	klsysesc1@tpam.spb.qsft	N			Y	Y	Y	Y								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys23	192.168.99.23	klbatchsys23@tpam.spb.qsft	HP-UX Shadow		180	Y	klbatchfcctacct5		N		Default Password Rule				desc2				        62								2880	N	N	Y	2	klsysesc2@tpam.spb.qsft	N			Y	Y	Y	Y								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		Y	N	
klbatchsys22	192.168.99.22	klbatchsys4@tpam.spb.qsft	HP-UX		180	Y	klbatchfcctacct4		N		Default Password Rule				desc3				        63								4320	N	N	Y	3	klsysesc3@tpam.spb.qsft	N	DelegationPrefix		Y	Y	Y	Y								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys21	192.168.99.21	klbatchsys21@tpam.spb.qsft	HP Non-Stop		180	Y	klbatchfcctacct3		N		Default Password Rule				desc4				        64								5760	N	Y	Y	4	klsysesc4@tpam.spb.qsft	N	InitialCommand		Y	Y	Y	Y								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys20	192.168.99.20	klbatchsys20@tpam.spb.qsft	HP ILO2		180	Y	klbatchfcctacct2		N		Default Password Rule				desc5				        65								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			Y	Y	Y	Y								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys2	192.168.99.2	klbatchsys2@tpam.spb.qsft	AS400		180	Y	klbatchfcctacct2		N		Default Password Rule	        55			desc1				        64								4320	N	Y	Y	5	klsysesc5@tpam.spb.qsft	N			Y	Y	Y	Y								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys19	192.168.99.19	klbatchsys19@tpam.spb.qsft	HP ILO		180	N			N		Default Password Rule				desc2				        65								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	Y			N	N	N	N								Y	N				N				Any	Local				Y	N	
klbatchsys18	192.168.99.18	klbatchsys18@tpam.spb.qsft	H3C		180	Y	klbatchfcctacct18		N		Default Password Rule				desc3				        66								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys17	192.168.99.17	klbatchsys17@tpam.spb.qsft	FreeBSD		180	Y	klbatchfcctacct8		N		Default Password Rule				desc4				        67								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N	DelegationPrefix		N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_1		N	N	
klbatchsys16	192.168.99.16	klbatchsys16@tpam.spb.qsft	Fortinet		180	Y	klbatchfcctacct7		N		Default Password Rule	        77			desc5				        68								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys15	192.168.99.15	klbatchsys6@tpam.spb.qsft	SPCW Pwd		180	Y	klbatchfcctacct6	DSS	N		Default Password Rule	        11			desc6				        69								4320	N	N	N	5	klsysesc5@tpam.spb.qsft	N	Old		N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys14	192.168.99.14	klbatchsys5@tpam.spb.qsft	SPCW 2		180	Y	klbatchfcctacct14	DSS	N		Default Password Rule	        25			desc7				        61								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N	MYCOMP		N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_1		Y	N	
klbatchsys13	192.168.99.13	klbatchsys4@tpam.spb.qsft	SPCW (DC) 2		180	Y	klbatchfcctacct13	DSS	Y		Default Password Rule	        44			desc8				        62	mydomain.mc.com						MYDOMAIN	4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys12	192.168.99.12	klbatchsys12@tpam.spb.qsft	SPCW (DC)		180	Y	klbatchfcctacct12	DSS	N		Default Password Rule				desc9				        63	mydomain.mc.com						MYDOMAIN	4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_2		Y	N	
klbatchsys110	192.168.99.110		Windows		120	Y	grrrrrr		N		Default Password Rule								        20								10080	N	N	N	0		N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_1		N	T	B29AE963A674BBB58EFE2DA1706FB75725066D05
klbatchsys11	192.168.99.11	klbatchsys11@tpam.spb.qsft	SPCW		180	Y	klbatchfcctacct11	DSS	N		Default Password Rule	        11			desc1				        64								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N	ComputerName		N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys109	192.168.99.109	klbatchsys109@tpam.spb.qsft	Windows		180	Y	klbfunc109		N		PersPwdRule				desc109				        66								8040	N	N	Y	7	klsysesc108@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_1		Y	T	A29AE963A674BBB58EFE2DA1706FB75725066D05
klbatchsys108	192.168.99.108	klbatchsys108@tpam.spb.qsft	Windows		180	Y	klbfunc1078		N		PersPwdRule				desc108				        66								8040	N	N	Y	7	klsysesc108@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys107	192.168.99.107	klbatchsys107@tpam.spb.qsft	Windows		180	Y	klbfunc107		N		PersPwdRule				desc107				        66								8640	N	N	Y	7	klsysesc107@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys106	192.168.99.16	klbatchsys106@tpam.spb.qsft	Custom Platform/KLforbatchimport		180	Y	klbfunc106		N		PersPwdRule				desc106				        66								8640	N	N	Y	7	klsysesc105@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
klbatchsys105	192.168.99.15	klbatchsys105@tpam.spb.qsft	Windows		180	Y	klbfunc105		N		Default Password Rule				desc103				        67								8640	N	N	Y	7	klsysesc105@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_2		Y	N	
klbatchsys104	192.168.99.14	klbatchsys104@tpam.spb.qsft	Windows		180	Y	ffff		N		Default Password Rule				desc103				        67								8640	N	N	Y	7	klsysesc104@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_1		Y	N	
klbatchsys103	192.168.99.103	klbatchsys103@tpam.spb.qsft	LDAP		180	Y	klbatchfcctacct27		N		Default Password Rule	        33			desc103				        67								8640	N	N	Y	7	klsysesc103@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2	cn=Manager103,dc=kllinux,dc=spb,dc=qsft	N	N	
klbatchsys102	192.168.99.102		Windows Desktop		120	Y	newfunc		N		Default Password Rule								        20								10080	N	N	N	0		N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_1	PersPassCheckProfile_2		N	N	
klbatchsys101	10.30.38.252	KLapache@tpam.spb.qsft	LDAP		180	Y	Manager		N		Default Password Rule	        44			Real OpenLDAP Server				        68								10080	N	N	Y	8	klsysesc8@tpam.spb.qsft	N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2	cn=Manager,dc=kllinux,dc=spb,dc=qsft	N	N	
klbatchsys100	192.168.99.100		Windows		120	Y	newfunc		N		Default Password Rule								        20								10080	N	N	N	0		N			N	N	N	N								N	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_1		N	N	
klbatchsys10	192.168.99.10	klbatchsys10@tpam.spb.qsft	Dell Remote Access		180	Y	klbatchfcctacct10	DSS	Y		Default Password Rule	        55			desc2				        65								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		N	N	
klbatchsys1	192.168.99.100	klbatchsys1@tpam.spb.qsft	AIX		180	Y	klbatchfcctacct1		N		Default Password Rule				desc3				        65								4320	N	N	Y	5	klsysesc5@tpam.spb.qsft	N			N	N	N	N								Y	N				N				Any	Local	PersPassChangeProfile_2	PersPassCheckProfile_2		Y	N	
